2.02-2.0-0: [15350392, 7567545, 3737719, 1847977, 915694, 454107, 225526, 111151, 54792, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-1: [15099719, 7506361, 3724454, 1842029, 913425, 452459, 223318, 110891, 54792, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-2: [15098266, 7478535, 3696874, 1831289, 908282, 451899, 223318, 110891, 54792, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-3: [14991504, 7443769, 3696874, 1831289, 908282, 451899, 223318, 110891, 54792, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-4: [14837168, 7376445, 3663611, 1821982, 907069, 449542, 222583, 110214, 54631, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-5: [14837168, 7376445, 3663611, 1821982, 907069, 449542, 222583, 110214, 54631, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-6: [14799777, 7379464, 3673277, 1822528, 904047, 449410, 222583, 110214, 54631, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-7: [14689586, 7301909, 3641601, 1809329, 898486, 446905, 222493, 110214, 54631, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-8: [14687705, 7303987, 3638288, 1809627, 899093, 446468, 221581, 110214, 54631, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-9: [14537620, 7251163, 3610764, 1798357, 896565, 445151, 221048, 109723, 54537, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-10: [14525461, 7233168, 3602827, 1792460, 894129, 445151, 221048, 109723, 54537, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-11: [14486557, 7217822, 3595789, 1789615, 891296, 444673, 221048, 109723, 54537, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-12: [14353226, 7154517, 3567400, 1780043, 885986, 441473, 219454, 109363, 54537, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-13: [14350197, 7157423, 3567346, 1777559, 885707, 441309, 219454, 109363, 54537, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-14: [14367836, 7167039, 3574858, 1783981, 888733, 442519, 220112, 109693, 54516, 27037, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-15: [14230759, 7106902, 3547937, 1770060, 882097, 440007, 219067, 109010, 54227, 26919, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-16: [14206462, 7096521, 3544678, 1768743, 882097, 440007, 219067, 109010, 54227, 26919, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-17: [14141513, 7061401, 3527926, 1760077, 878028, 438317, 218550, 108769, 54119, 26919, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-18: [14044025, 7015671, 3505231, 1749816, 873647, 435889, 217663, 108438, 54119, 26919, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-19: [14037437, 7014002, 3505231, 1749816, 873647, 435889, 217663, 108438, 54119, 26919, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-20: [14037437, 7014002, 3505231, 1749816, 873647, 435889, 217663, 108438, 54119, 26919, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-21: [14039816, 7014857, 3503855, 1749816, 873647, 435889, 217663, 108438, 54119, 26919, 13391, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-22: [14005098, 6997325, 3496297, 1746560, 872119, 435635, 217539, 108511, 54042, 26879, 13383, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
2.02-2.0-23: [13864926, 6927977, 3461688, 1729913, 864266, 431677, 215346, 107473, 53659, 26734, 13307, 6634, 3297, 1636, 701, 301, 132, 57, 23, 10, 4, 1]: WINS 0 TIMES OF 11
